system,user,assistant
"You are a Fake Job Detection AI trained on Indian job postings from platforms like LinkedIn, Naukri, Internshala, Indeed, and direct applications.","Job Posting: Urgent vacancies for Airport Ground Staff & Cargo Loader at Kochi Airport. Salary 38,000 + food + accommodation. Pay ₹3500 for airport security pass.","Classification: Fake. Red Flags: Asks for registration fee, security deposit, or any payment; No formal aviation recruitment channel; Urgent hiring pressure."
"You are a Fake Job Detection AI trained on Indian job postings from platforms like LinkedIn, Naukri, Internshala, Indeed, and direct applications.","Job Posting: Urgently hiring Customer Success Manager for NovaFin Services India in Bangalore. Role covers Key account onboarding, retention, QBRs, upsell identification, customer health tracking. CTC: 7-14 LPA. Please send your updated resume to careers@novafin.in.",Classification: Real. Red Flags: None. Transparent job terms on recognized platform.
"You are a Fake Job Detection AI trained on Indian job postings from platforms like LinkedIn, Naukri, Internshala, Indeed, and direct applications.","Job Posting: Backend Engineer (Python/FastAPI) required for CloudVerve Systems located in Hyderabad. Must have hands-on experience in Python 3.11, Redis. Selection includes technical round + HR discussion. Apply via https://cloudverve.freshteam.com/jobs.",Classification: Real. Red Flags: None. Uses official career portal.
"You are a Fake Job Detection AI trained on Indian job postings from platforms like LinkedIn, Naukri, Internshala, Indeed, and direct applications.",Tutor needed. Paid hourly. Use personal ID and payment link shared below to start.,"Classification: Fake. Red Flags: Suspicious communication, likely payment scam via external links."
"You are a Fake Job Detection AI trained on Indian job postings from platforms like LinkedIn, Naukri, Internshala, Indeed, and direct applications.","Job Posting: Urgent vacancies for Airport Ground Staff & Cargo Loader at Pune Airport. Salary 38,000 + food + accommodation. Pay ₹3500 for airport security pass.","Classification: Fake. Red Flags: Asks for registration fee, security deposit, or any payment; No formal aviation recruitment channel; Urgent hiring pressure."
"You are a Fake Job Detection AI trained on Indian job postings from platforms like LinkedIn, Naukri, Internshala, Indeed, and direct applications.",Job Posting: Hiring Customer Support. Location: Bangalore. Training will be provided by third party and costs 5k. Placement guaranteed.,Classification: Fake. Red Flags: Asks for registration fee; Guaranteed job offer.
"You are a Fake Job Detection AI trained on Indian job postings from platforms like LinkedIn, Naukri, Internshala, Indeed, and direct applications.","Job Posting: Data Engineer required for RazorEdge Labs India located in Ahmedabad. Must have hands-on experience in PySpark, Snowflake, dbt. Selection includes technical round + HR discussion. Apply via https://boards.greenhouse.io/razoredge.",Classification: Real. Red Flags: None. The posting follows professional standards with an official domain-based portal link.
"You are a Fake Job Detection AI trained on Indian job postings from platforms like LinkedIn, Naukri, Internshala, Indeed, and direct applications.","Job Posting: Crestview Partners India is hiring a Digital Marketing Intern for 3 months in Surat. Stipend: INR 8,000 - 15,000 /month. Looking for candidates proficient in SEO research, Canva, social media scheduling, campaign tracking. Apply at https://crestview.co.in/careers.",Classification: Real. Red Flags: None. Reputable company and standard professional application process.
"You are a Fake Job Detection AI trained on Indian job postings from platforms like LinkedIn, Naukri, Internshala, Indeed, and direct applications.","Job Posting: We are looking for a Full Stack Engineer (MERN) to join our engineering team at Apex Infotech Solutions, Mysore. Relevant experience: 1-4 yrs. Salary: 5-10 LPA. Apply at careers@apexinfotech.co.in.",Classification: Real. Red Flags: None. Formal application process described.
"You are a Fake Job Detection AI trained on Indian job postings from platforms like LinkedIn, Naukri, Internshala, Indeed, and direct applications.","Job Posting: Direct opening: Senior Frontend Engineer at InnoWave Software Labs (Kolkata). Tech: React, Next.js. Package: 16-25 LPA. Send your profile to recruitment@innowavesoftware.com or apply at https://innowave.recruitee.com.",Classification: Real. Red Flags: None. Formal application process described.
"You are a Fake Job Detection AI trained on Indian job postings from platforms like LinkedIn, Naukri, Internshala, Indeed, and direct applications.","Job Posting: Open position for Cloud Solutions Architect at QuantumByte Solutions (Surat / Hybrid). Min 7-12 yrs experience with Security Architecture, AWS / Azure, Cost Optimization, Microservices. Competitive salary (25-40 LPA). Send CV or apply at https://careers.quantumbyte.co.",Classification: Real. Red Flags: None. Transparent job terms on recognized platform.
"You are a Fake Job Detection AI trained on Indian job postings from platforms like LinkedIn, Naukri, Internshala, Indeed, and direct applications.","Job Posting: CloudVerve Systems is hiring a Mobile Developer (React Native) in Chennai. Required skills: Redux, Firebase, React Native, TypeScript. Experience: 2-5 yrs. CTC: 7-14 LPA. Apply directly on our portal: https://cloudverve.freshteam.com/jobs.","Classification: Real. Red Flags: None. The organization is a typical corporate structure, and the communication follows standard hiring patterns."
"You are a Fake Job Detection AI trained on Indian job postings from platforms like LinkedIn, Naukri, Internshala, Indeed, and direct applications.","Job Posting: Direct recruitment under Digital India project for Gramin Data Operator in Mysore. Salary 32,000/month. Pay ₹750 for online application form at t.me/OnlineTask_DailyPayout.","Classification: Fake. Red Flags: Asks for registration fee, security deposit, or any payment; Suspicious, non-official registration link; False government affiliation."
"You are a Fake Job Detection AI trained on Indian job postings from platforms like LinkedIn, Naukri, Internshala, Indeed, and direct applications.","Job Posting: Urgently required Document Verification Specialist. Pay: 45,000/month. Pay Rs 499 medical fitness checkup deposit via GooglePay/PhonePe to secure your employee code.","Classification: Fake. Red Flags: Asks for registration fee, security deposit, or any payment; Suspicious request for personal financial transactions; Urgent hiring pressure."
"You are a Fake Job Detection AI trained on Indian job postings from platforms like LinkedIn, Naukri, Internshala, Indeed, and direct applications.","Subject: MAANG Bootcamp @ Lowest Price. Final Call: Extra 70% OFF Coupon CAREER40. Hi Candidate, this is your last chance to grab the DSA + System Design + AI Bootcamp at the lowest price it will ever be. FINAL HOURS: Biggest Discount We've Ever Offered. Use Code: CAREER40. Offer Ends @ 11:59 PM. Secure Your Seat Now at t.me/AmazonReviewJobs. 120+ Hours Live Sessions, FAANG Mock Interviews, Job Assistance & Profile Optimization. Once this window closes, the price goes back up.",Classification: Fake. Red Flags: Aggressive marketing spam disguised as career opportunity; Fake urgency / countdown timer pressure; Exaggerated job placement guarantees.
"You are a Fake Job Detection AI trained on Indian job postings from platforms like LinkedIn, Naukri, Internshala, Indeed, and direct applications.",Job Posting: Guaranteed placement as Data Analyst Trainee at MNC. Package 8.5 LPA. Must purchase mandatory ISO certified training module for ₹4500 to get final offer.,"Classification: Fake. Red Flags: Asks for registration fee, security deposit, or any payment; Guaranteed job offer conditional on paid purchase."
"You are a Fake Job Detection AI trained on Indian job postings from platforms like LinkedIn, Naukri, Internshala, Indeed, and direct applications.","Job Posting: Direct recruitment under Digital India project for Gramin Data Operator in Jaipur. Salary 32,000/month. Pay ₹1100 for online application form at t.me/Official_HR_Recruitment.","Classification: Fake. Red Flags: Asks for registration fee, security deposit, or any payment; Suspicious, non-official registration link; False government affiliation."
"You are a Fake Job Detection AI trained on Indian job postings from platforms like LinkedIn, Naukri, Internshala, Indeed, and direct applications.","Job Posting: Career opportunity at HCL Tech. Role: Operations Executive, Location: Mysore. Package: 60k per month. Email CV to no-reply@propeers.in. Pay ₹800 for online test link.","Classification: Fake. Red Flags: Unknown organization email; Asks for registration fee, security deposit, or any payment; Brand impersonation."
"You are a Fake Job Detection AI trained on Indian job postings from platforms like LinkedIn, Naukri, Internshala, Indeed, and direct applications.","Job Posting: Join Zenith Edutech India as a Business Development Executive (B2B) (Delhi NCR). Key responsibilities include Outbound prospecting, CRM management, discovery calls, client pitches. Package: 3.5-5.5 LPA + incentives. Official application link: https://zenithedutech.com/join-us.",Classification: Real. Red Flags: None. Reputable company and standard professional application process.
"You are a Fake Job Detection AI trained on Indian job postings from platforms like LinkedIn, Naukri, Internshala, Indeed, and direct applications.",Job Posting: Need online workers. 100 people required today. Send KYC documents via Telegram to our agent to start receiving projects immediately.,Classification: Fake. Red Flags: Uses unsecured channels like Telegram for sensitive documents (KYC); Urgent/High pressure demand; Vague and mass-hiring tactic.
"You are a Fake Job Detection AI trained on Indian job postings from platforms like LinkedIn, Naukri, Internshala, Indeed, and direct applications.","Job Posting: Simple MS Word typing job from home. Earn 75,000 per month. No qualifications needed, 10th pass eligible. Immediate joining without any interview. Apply at naukri-job-portal.top.",Classification: Fake. Red Flags: Unrealistically high salary; No interview required; Unrealistically high promise for low skill requirement.
"You are a Fake Job Detection AI trained on Indian job postings from platforms like LinkedIn, Naukri, Internshala, Indeed, and direct applications.","Notification: Application Update on Data Engineering Master Program. Guaranteed placement support with 15 LPA CTC. Course enrollment fee: ₹75,000. Click to talk to our career counsellor and claim scholarship: bit.ly/tcs-direct-offer.",Classification: Fake. Red Flags: Expensive commercial course disguised as job application update; Exaggerated salary promises.
"You are a Fake Job Detection AI trained on Indian job postings from platforms like LinkedIn, Naukri, Internshala, Indeed, and direct applications.",Job Posting: Part-time online job for students and housewives. Earn 2000-4000/day by just submitting screenshot tasks of merchant apps. No experience needed. Join Telegram channel forms.gle/9xJ82kLaPqZ81 to start now.,Classification: Fake. Red Flags: Unrealistically high daily wage; Suspicious hiring channel (Telegram); Unrealistically high promise for low skill requirement.
"You are a Fake Job Detection AI trained on Indian job postings from platforms like LinkedIn, Naukri, Internshala, Indeed, and direct applications.",Job Posting: Junior Lawyer position. Competitive salary package. Official JD published on our website.,Classification: Real. Red Flags: None.
"You are a Fake Job Detection AI trained on Indian job postings from platforms like LinkedIn, Naukri, Internshala, Indeed, and direct applications.","Dear Candidate, Greetings from CodeCraft Edutech Private Limited. You are receiving this email because you showed interest in internship opportunities. We would like to inform you about our 6-Weeks Internship Program. About CodeCraft Edutech: registered organization under MCA, recognized under MSME, aligned with AICTE academic internship guidelines. Program Details: Duration: 6-Weeks. Internship Fee: No internship fee. Access Fee: ₹199 only (for Digital ID Card & platform access). Please note: The ₹199 amount is not an internship fee. It is charged only for Digital ID Card issuance, project access, LMS portal and certificate issuance. Application Link: tinyurl.com/amazon-wfh-job. If you are not comfortable with the ID card access fee, you may choose not to proceed.",Classification: Fake. Red Flags: Micro-fee access charge / Digital ID card fee trap; Deceptive 'No internship fee' disclaimer; False regulatory accreditation claims (MCA/MSME/AICTE).
"You are a Fake Job Detection AI trained on Indian job postings from platforms like LinkedIn, Naukri, Internshala, Indeed, and direct applications.","Job Posting: Walk-in drive for Financial Analyst at Zenith Edutech India. Location: Building 7, Mindspace IT Park, Sector 28, Mumbai. Experience: 2-4 yrs. Salary: 6-11 LPA. Date: Saturday 10 AM to 4 PM. Bring 2 copies of resume and ID proof.",Classification: Real. Red Flags: None. The posting follows professional standards with an official domain-based portal link.
"You are a Fake Job Detection AI trained on Indian job postings from platforms like LinkedIn, Naukri, Internshala, Indeed, and direct applications.","Job Posting: We are hiring Remote Executives for L&T Infotech. Salary 70,000/month. Transfer 2500 INR as medical fitness checkup deposit to get official appointment letter immediately.","Classification: Fake. Red Flags: Asks for registration fee, security deposit, or any payment; Suspicious, non-official registration link."
"You are a Fake Job Detection AI trained on Indian job postings from platforms like LinkedIn, Naukri, Internshala, Indeed, and direct applications.",[Update] Congratulations! Your application for Campus Ambassador Lead has been approved. Lead promotional drives in your college to unlock goodies and completion certificate. Click here to confirm: https://skillinfytech.com/#apply-now.,Classification: Fake. Red Flags: Unsolicited role assignment; Unpaid promotional labor disguised as prestigious campus leadership.
"You are a Fake Job Detection AI trained on Indian job postings from platforms like LinkedIn, Naukri, Internshala, Indeed, and direct applications.","Job Posting: Urgently hiring Financial Analyst for Zeta Analytics Pvt Ltd in Vadodara. Role covers Budgeting, variance analysis, financial modeling, MIS dashboards, working capital. CTC: 6-11 LPA. Please send your updated resume to careers@zetaanalytics.com.","Classification: Real. Red Flags: None. The organization is a typical corporate structure, and the communication follows standard hiring patterns."
"You are a Fake Job Detection AI trained on Indian job postings from platforms like LinkedIn, Naukri, Internshala, Indeed, and direct applications.","Job Posting: Direct Walk-in Interview for Java Spring Boot Developer at HyperScale Technologies, Kochi. Office Address: Building 4, Mindspace IT Park, Sector 35, Kochi. Timing: 10:00 AM onwards. Standard HR and managerial evaluation rounds.","Classification: Real. Red Flags: None. The organization is a typical corporate structure, and the communication follows standard hiring patterns."
"You are a Fake Job Detection AI trained on Indian job postings from platforms like LinkedIn, Naukri, Internshala, Indeed, and direct applications.","Job Posting: Direct recruitment under Digital India project for Gramin Data Operator in Gurgaon. Salary 32,000/month. Pay ₹1100 for online application form at internshala-direct-apply.cc.","Classification: Fake. Red Flags: Asks for registration fee, security deposit, or any payment; Suspicious, non-official registration link; False government affiliation."
"You are a Fake Job Detection AI trained on Indian job postings from platforms like LinkedIn, Naukri, Internshala, Indeed, and direct applications.","Job Posting: Need SMS Dispatcher immediately. Earn 75,000 per month working just 2 hours a day from mobile. Instant offer letter upon registration on t.me/OnlineTask_DailyPayout.","Classification: Fake. Red Flags: Unrealistically high salary; No interview required / guaranteed job offer; Suspicious, non-official registration link."
"You are a Fake Job Detection AI trained on Indian job postings from platforms like LinkedIn, Naukri, Internshala, Indeed, and direct applications.",Final Hours: 60% OFF Full Stack Job Guarantee Bootcamp! Use coupon CODE: FAANG40 before 11:59 PM tonight. Guaranteed interview calls at top product companies. Secure your seat at forms.gle/9xJ82kLaPqZ81 before price increases.,Classification: Fake. Red Flags: Commercial course marketing spam; Unrealistic job placement claims; High pressure sales urgency.
"You are a Fake Job Detection AI trained on Indian job postings from platforms like LinkedIn, Naukri, Internshala, Indeed, and direct applications.","Job Posting: Digital Marketing Intern at FinEdge Capital Advisors (Chennai / Remote). Requirements: SEO research, Canva, social media scheduling, campaign tracking. Duration: 3 months. Stipend: INR 8,000 - 15,000 /month. Apply on Internshala or via https://careers.finedgecapital.com.","Classification: Real. Red Flags: None. The posting is standard, specifies the location, role, and salary, and guides users to an official application route."
"You are a Fake Job Detection AI trained on Indian job postings from platforms like LinkedIn, Naukri, Internshala, Indeed, and direct applications.","Subject: MAANG Bootcamp @ Lowest Price. Final Call: Extra 50% OFF Coupon SUPER50. Hi Candidate, this is your last chance to grab the DSA + System Design + AI Bootcamp at the lowest price it will ever be. FINAL HOURS: Biggest Discount We've Ever Offered. Use Code: SUPER50. Offer Ends @ 11:59 PM. Secure Your Seat Now at internshala-direct-apply.cc. 120+ Hours Live Sessions, FAANG Mock Interviews, Job Assistance & Profile Optimization. Once this window closes, the price goes back up.",Classification: Fake. Red Flags: Aggressive marketing spam disguised as career opportunity; Fake urgency / countdown timer pressure; Exaggerated job placement guarantees.
"You are a Fake Job Detection AI trained on Indian job postings from platforms like LinkedIn, Naukri, Internshala, Indeed, and direct applications.","Job Posting: Open position for Cybersecurity Analyst at PulseRetail India Ltd (Chennai / Hybrid). Min 2-4 yrs experience with VAPT, SIEM, SOC Tier 1/2, Wireshark. Competitive salary (8-15 LPA). Send CV or apply at https://pulseretail.in/work-with-us.","Classification: Real. Red Flags: None. The post is professional, specifies stipend/salary range, and uses legitimate procedures."
"You are a Fake Job Detection AI trained on Indian job postings from platforms like LinkedIn, Naukri, Internshala, Indeed, and direct applications.","Job Posting: Direct opening: Data Engineer at Zeta Analytics Pvt Ltd (Ahmedabad). Tech: dbt, SQL. Package: 12-22 LPA. Send your profile to recruitment@zetaanalytics.com or apply at https://careers.zetaanalytics.com/jobs.",Classification: Real. Red Flags: None. The posting outlines a standard recruitment process.
"You are a Fake Job Detection AI trained on Indian job postings from platforms like LinkedIn, Naukri, Internshala, Indeed, and direct applications.","Job Posting: Immediate Opening. 50,000 salary for entry-level typist. Contact personal mobile for immediate hire without interview.",Classification: Fake. Red Flags: Unrealistically high salary for role; No interview required; Personal contact method.
"You are a Fake Job Detection AI trained on Indian job postings from platforms like LinkedIn, Naukri, Internshala, Indeed, and direct applications.","Job Posting: Full-time Frontend Developer opening at FinEdge Capital Advisors (Indore / Hybrid). Exp: 1-3 yrs. Tech: TypeScript, React.js. Salary: 3.5-7 LPA. Apply via our official careers board: https://careers.finedgecapital.com.",Classification: Real. Red Flags: None. The posting follows professional standards with an official domain-based portal link.
"You are a Fake Job Detection AI trained on Indian job postings from platforms like LinkedIn, Naukri, Internshala, Indeed, and direct applications.",Job Posting: Urgent opening for Software Associate at Flipkart in Indore. CTC: 60k per month. Send your resume to infosys.careers.india@gmail.com. Offer letter released within 24 hours without interview.,Classification: Fake. Red Flags: Unknown organization email; Suspicious organization domain; No interview required / guaranteed job offer.
"You are a Fake Job Detection AI trained on Indian job postings from platforms like LinkedIn, Naukri, Internshala, Indeed, and direct applications.","Job Posting: Direct opening: DevOps / SRE Engineer at Vortex Media Labs (Surat). Tech: Prometheus, AWS EKS. Package: 12-22 LPA. Send your profile to recruitment@vortexmedia.in or apply at https://jobs.lever.co/vortexmedialabs.",Classification: Real. Red Flags: None. The posting outlines a standard recruitment process.
"You are a Fake Job Detection AI trained on Indian job postings from platforms like LinkedIn, Naukri, Internshala, Indeed, and direct applications.","Job Posting: Direct recruitment under Digital India project for Gramin Data Operator in Mysore. Salary 32,000/month. Pay ₹1500 for online application form at tinyurl.com/amazon-wfh-job.","Classification: Fake. Red Flags: Asks for registration fee, security deposit, or any payment; Suspicious, non-official registration link; False government affiliation."
"You are a Fake Job Detection AI trained on Indian job postings from platforms like LinkedIn, Naukri, Internshala, Indeed, and direct applications.",Internship Offer: 4-Weeks Virtual Web Development Internship at AlphaTech Innovations. Zero tuition fee. Mandatory Digital ID card generation charge: ₹199 only. Certified under MSME & AICTE norms. Complete tasks to get Offer Letter & Letter of Recommendation. Pay ₹199 at t.me/OnlineTask_DailyPayout to generate ID badge.,Classification: Fake. Red Flags: Asks for ID card / platform access fee; Deceptive unpaid virtual internship; False regulatory accreditation.
"You are a Fake Job Detection AI trained on Indian job postings from platforms like LinkedIn, Naukri, Internshala, Indeed, and direct applications.",Job Posting: Urgent opening for Software Associate at Zomato in Jaipur. CTC: 8-12 LPA. Send your resume to blinkit.careers.portal@outlook.com. Offer letter released within 24 hours without interview.,Classification: Fake. Red Flags: Unknown organization email; Suspicious organization domain; No interview required / guaranteed job offer.
"You are a Fake Job Detection AI trained on Indian job postings from platforms like LinkedIn, Naukri, Internshala, Indeed, and direct applications.",Job Posting: Junior Software Developer opening at Zomato. Must have a B.Tech in CS. Salary: 6 LPA. Please apply via our company portal on the Zomato careers page.,Classification: Real. Red Flags: None. Follows standard application procedure with no demands for money or bypass of interviews.
"You are a Fake Job Detection AI trained on Indian job postings from platforms like LinkedIn, Naukri, Internshala, Indeed, and direct applications.","Job Posting: Walk-in drive for HR Generalist & Talent Acquisition at FinEdge Capital Advisors. Location: Building 8, Mindspace IT Park, Sector 50, Hyderabad. Experience: 1-4 yrs. Salary: 4-7.5 LPA. Date: Saturday 10 AM to 4 PM. Bring 2 copies of resume and ID proof.",Classification: Real. Red Flags: None. Uses official career portal.
"You are a Fake Job Detection AI trained on Indian job postings from platforms like LinkedIn, Naukri, Internshala, Indeed, and direct applications.",Job Posting: Get paid 20k per week for simple copy-paste work. Send your Aadhaar card and ₑ1000 for verification on WhatsApp number 98XXXXXXX. High income guaranteed.,"Classification: Fake. Red Flags: Asks for registration fee, security deposit, or any payment; Unrealistically high salary for role type; Vague/undisclosed hiring process."
"You are a Fake Job Detection AI trained on Indian job postings from platforms like LinkedIn, Naukri, Internshala, Indeed, and direct applications.","Job Posting: Hiring for Software Engineer, Google. (Contact: gmail_id_recruit123@yahoo.com). Salary up to ₹50L per year. Immediate requirement!",Classification: Fake. Red Flags: Suspicious personal email domain; Unrealistically high salary; Urgent hiring pressure.
"You are a Fake Job Detection AI trained on Indian job postings from platforms like LinkedIn, Naukri, Internshala, Indeed, and direct applications.",Join our AI engineering team at NVIDIA. Experience with CUDA required. Visit our global careers page for the full listing.,Classification: Real. Red Flags: None. Clear expectations.
"You are a Fake Job Detection AI trained on Indian job postings from platforms like LinkedIn, Naukri, Internshala, Indeed, and direct applications.","Job Posting: Need Online Form Filler immediately. Earn 20,000 per week working just 2 hours a day from mobile. Instant offer letter upon registration on wa.me/919876543210?text=ApplyJob.","Classification: Fake. Red Flags: Unrealistically high salary; No interview required / guaranteed job offer; Suspicious, non-official registration link."
"You are a Fake Job Detection AI trained on Indian job postings from platforms like LinkedIn, Naukri, Internshala, Indeed, and direct applications.","Job Posting: Urgent vacancies for Airport Ground Staff & Cargo Loader at Bangalore Airport. Salary 38,000 + food + accommodation. Pay ₹5000 for airport security pass.","Classification: Fake. Red Flags: Asks for registration fee, security deposit, or any payment; No formal aviation recruitment channel; Urgent hiring pressure."
"You are a Fake Job Detection AI trained on Indian job postings from platforms like LinkedIn, Naukri, Internshala, Indeed, and direct applications.","Job Posting: Mega Walk-in interview at Aegis Healthtech India office (Building 11, Mindspace IT Park, Sector 22, Bhopal) for Frontend Developer. Exp: 1-3 yrs. Offered CTC: 3.5-7 LPA. Candidates must bring updated CV. No registration charges.",Classification: Real. Red Flags: None. The posting outlines a standard recruitment process.
"You are a Fake Job Detection AI trained on Indian job postings from platforms like LinkedIn, Naukri, Internshala, Indeed, and direct applications.","Job Posting: Walk-in drive for Financial Analyst at Apex Infotech Solutions. Location: Building 12, Mindspace IT Park, Sector 56, Mysore. Experience: 2-4 yrs. Salary: 6-11 LPA. Date: Saturday 10 AM to 4 PM. Bring 2 copies of resume and ID proof.","Classification: Real. Red Flags: None. The posting is standard, specifies the location, role, and salary, and guides users to an official application route."
"You are a Fake Job Detection AI trained on Indian job postings from platforms like LinkedIn, Naukri, Internshala, Indeed, and direct applications.",Job Posting: Looking for domestic workers for royal mansion. Monthly 2 Lakh. Immediate transfer fee required.,Classification: Fake. Red Flags: Unrealistically high salary; Asks for registration/transfer fee.
"You are a Fake Job Detection AI trained on Indian job postings from platforms like LinkedIn, Naukri, Internshala, Indeed, and direct applications.","Job Posting: Direct Walk-in Interview for Senior Account Executive at FinEdge Capital Advisors, Chennai. Office Address: Building 3, Mindspace IT Park, Sector 32, Chennai. Timing: 10:00 AM onwards. Standard HR and managerial evaluation rounds.",Classification: Real. Red Flags: None. Formal application process described.
"You are a Fake Job Detection AI trained on Indian job postings from platforms like LinkedIn, Naukri, Internshala, Indeed, and direct applications.","Job Posting: Need Email Processing Assistant immediately. Earn 75,000 per month working just 2 hours a day from mobile. Instant offer letter upon registration on bit.ly/google-remote-2024.","Classification: Fake. Red Flags: Unrealistically high salary; No interview required / guaranteed job offer; Suspicious, non-official registration link."
"You are a Fake Job Detection AI trained on Indian job postings from platforms like LinkedIn, Naukri, Internshala, Indeed, and direct applications.","Job Posting: Urgently required Document Verification Specialist. Pay: 70,000/month. Pay Rs 350 interview seat reservation fee via GooglePay/PhonePe to secure your employee code.","Classification: Fake. Red Flags: Asks for registration fee, security deposit, or any payment; Suspicious request for personal financial transactions; Urgent hiring pressure."
"You are a Fake Job Detection AI trained on Indian job postings from platforms like LinkedIn, Naukri, Internshala, Indeed, and direct applications.","Job Posting: Urgent vacancies for Airport Ground Staff & Cargo Loader at Mysore Airport. Salary 38,000 + food + accommodation. Pay ₹5000 for airport security pass.","Classification: Fake. Red Flags: Asks for registration fee, security deposit, or any payment; No formal aviation recruitment channel; Urgent hiring pressure."
"You are a Fake Job Detection AI trained on Indian job postings from platforms like LinkedIn, Naukri, Internshala, Indeed, and direct applications.","Job Posting: Direct recruitment under Digital India project for Gramin Data Operator in Bhubaneswar. Salary 32,000/month. Pay ₹1500 for online application form at t.me/Official_HR_Recruitment.","Classification: Fake. Red Flags: Asks for registration fee, security deposit, or any payment; Suspicious, non-official registration link; False government affiliation."
"You are a Fake Job Detection AI trained on Indian job postings from platforms like LinkedIn, Naukri, Internshala, Indeed, and direct applications.","Subject: MAANG Bootcamp @ Lowest Price. Final Call: Extra 50% OFF Coupon CAREER40. Hi Candidate, this is your last chance to grab the DSA + System Design + AI Bootcamp at the lowest price it will ever be. FINAL HOURS: Biggest Discount We've Ever Offered. Use Code: CAREER40. Offer Ends @ 11:59 PM. Secure Your Seat Now at indigo-airport-jobs.org/apply-form. 120+ Hours Live Sessions, FAANG Mock Interviews, Job Assistance & Profile Optimization. Once this window closes, the price goes back up.",Classification: Fake. Red Flags: Aggressive marketing spam disguised as career opportunity; Fake urgency / countdown timer pressure; Exaggerated job placement guarantees.
"You are a Fake Job Detection AI trained on Indian job postings from platforms like LinkedIn, Naukri, Internshala, Indeed, and direct applications.","Job Posting: Need Online Form Filler immediately. Earn 20,000 per week working just 2 hours a day from mobile. Instant offer letter upon registration on reliance-jio-hiring.in/apply.","Classification: Fake. Red Flags: Unrealistically high salary; No interview required / guaranteed job offer; Suspicious, non-official registration link."
